LATITUD,LONGITUD,LABEL,NAME
-34.6288473603881,-58.3775508488443,HOSPITAL GENERAL DE NIÑOS PEDRO DE ELIZALDE,HOSP. DE ELIZALDE
-34.5941919726393,-58.4120700769456,HOSPITAL GENERAL DE NIÑOS RICARDO GUTIERREZ,HOSP. GUTIERREZ
-34.5845283357505,-58.4027276547828,HOSPITAL DE ODONTOLOGIA DR. RAMON CARRILLO (EX NACIONAL),HOSP. ODONTOLOGICO CARRILLO
-34.6394041316484,-58.3851559118889,HOSPITAL DE SALUD MENTAL BRAULIO MOYANO,HOSP. MOYANO
-34.6341535760002,-58.3913114406535,HOSPITAL DE GASTROENTEROLOGIA B. UDAONDO,HOSP. UDAONDO
-34.6084721257413,-58.4349433479819,INSTITUTO DE ZOONOSIS L. PASTEUR,INST. PASTEUR
-34.6302112044495,-58.3758433488021,HOSPITAL DE REHABILITACION RESPIRATORIA MARIA FERRER,HOSP. FERRER
-34.6357022351559,-58.3823284509488,HOSPITAL INFANTO JUVENIL C. TOBAR GARCIA,HOSP. TOBAR GARCIA
-34.6364350546569,-58.3821283746958,HOSPITAL DE SALUD MENTAL J. T. BORDA,HOSP. BORDA
-34.6388917320834,-58.3601201271455,HOSPITAL DE ODONTOLOGIA INFANTIL DON BENITO QUINQUELA MARTIN,HOSP. ODONTOLOGICO INFANTIL QUINQUELA MARTIN
-34.5538963316473,-58.4409882382439,INSTITUTO DE REHABILITACION PSICOFISICA (I.R.E.P.),INST. DE REHAB. PSICOFISICA
-34.634856308415,-58.4027506275377,HOSPITAL MATERNO INFANTIL R. SARDA,HOSP. SARDA
-34.6054342750207,-58.4601855775528,HOSPITAL OFTALMOLOGICO DR. PEDRO LAGLEYZE,HOSP. LAGLEYZE
-34.6146348348429,-58.4276597542837,HOSPITAL DE ODONTOLOGIA  JOSE DUEÑAS,HOSP. ODONTOLOGICO DUEÑAS
-34.6070507603866,-58.4332484381295,HOSPITAL MUNICIPAL DE ONCOLOGIA MARIE CURIE,HOSP. CURIE
-34.6255031952483,-58.4323966950244,HOSPITAL DE QUEMADOS DR. ARTURO UMBERTO ILLIA,HOSP. DE QUEMADOS A. U. ILLIA
-34.6227125075124,-58.3940641604746,HOSPITAL DE OFTALMOLOGIA SANTA LUCIA,HOSP. SANTA LUCIA
-34.6179817540591,-58.5021449222222,HOSPITAL DE REHABILITACION M. ROCCA,HOSP. DE REHAB. ROCCA
-34.6375293258416,-58.3937269413225,HOSPITAL DE INFECCIOSAS F. MUÑIZ,HOSP. MUÑIZ
-34.5972098729151,-58.4752588459761,HOSPITAL DE EMERGENCIAS PSIQUIATRICAS TORCUATO DE ALVEAR,HOSP. T. DE ALVEAR
-34.5847659581214,-58.4005134574423,HOSPITAL GENERAL DE AGUDOS B. RIVADAVIA,HOSP. RIVADAVIA
-34.6283448581677,-58.365985088719,HOSPITAL GENERAL DE AGUDOS DR C. ARGERICH,HOSP. ARGERICH
-34.581141710889,-58.4068939142787,HOSPITAL GENERAL DE AGUDOS DR. J. A. FERNANDEZ,HOSP. FERNANDEZ
-34.6089728538414,-58.437981361705,HOSPITAL GENERAL DE AGUDOS DR. C. DURAND,HOSP. DURAND
-34.6241704940114,-58.4695020363265,HOSPITAL GENERAL DE AGUDOS DR. T. ALVAREZ,HOSP. ALVAREZ
-34.6176598438607,-58.4096107488155,HOSPITAL GENERAL DE AGUDOS J. M. RAMOS MEJIA,HOSP. RAMOS MEJIA
-34.565051956568,-58.4710781593251,HOSPITAL GENERAL DE AGUDOS DR. I. PIROVANO,HOSP. PIROVANO
-34.599979524264,-58.5110525000569,HOSPITAL GENERAL DE AGUDOS A. ZUBIZARRETA,HOSP. ZUBIZARRETA
-34.6253367952668,-58.50761514092,HOSPITAL GENERAL DE AGUDOS D. VELEZ SARSFIELD,HOSP. VELEZ SARSFIELD
-34.6491867281064,-58.5156291936709,HOSPITAL GENERAL DE AGUDOS DONACION F. SANTOJANNI,HOSP. SANTOJANNI
-34.6431172591975,-58.4108602188291,HOSPITAL GENERAL DE AGUDOS J. A. PENNA,HOSP. PENNA
-34.5873917690227,-58.4710976282168,HOSPITAL GENERAL DE AGUDOS DR. E. TORNU,HOSP. TORNU
-34.643894071866,-58.4541167814714,HOSPITAL GENERAL DE AGUDOS P. PIÑERO,HOSP. PIÑERO
-34.6718480140772,-58.4566428491103,HOSPITAL CECILIA GRIERSON,HOSP. GRIERSON
-34.6299453614404,-58.3918791813882,HOSP. DE PEDIATRIA DR. J. GARRAHAN,HOSP. GARRAHAN
-34.6419888014928,-58.3814293381891,TALLERES PROTEGIDOS DE REHABILITACION PSIQUIATRICA,TALLERES DE REHAB. PSIQUIATRICA
